name,lastName,age,country,gender,wealthSource,,,
Rita Tong Liu, Tong Liu,69, Hong Kong,F, real estate,,,
Mary Alice Dorrance Malone, Malone,68, United States,F, Campbell Soup,,,
Pat Stryker, Stryker,62, United States,F, medical equipment,,,
Yvonne Bauer, Bauer,41, Germany,F, media,,,
Dinara Kulibaeva, Kulibaeva,50, Kazakhstan,F, banking,,,
Miuccia Prada, Prada,69, Italy,F, luxury goods,,,
Lynn Schusterman, Schusterman,79, United States,F, oil & gas, investments,,
Meg Whitman, Whitman,61, United States,F, eBay,,,
Cheng Cheung Ling, Cheng,54, China,F, pharmaceuticals,,,
Jane Goldman, Goldman,62, United States,F, real estate,,,
Amy Goldman Fowler, Goldman Fowler,64, United States,F, real estate,,,
Diane Kemper, Kemper,72, United States,F, real estate,,,
Thi Phuong Thao Nguyen, Nguyen,48, Vietnam,F, airlines,,,
Anne Beaufour, Beaufour,54, France,F, pharmaceuticals,,,
Johnelle Hunt, Hunt,86, United States,F, trucking,,,
Jean (Gigi) Pritzker, Pritzker,55, United States,F, hotels, investments,,
Smita Crishna-Godrej, Crishna-Godrej,67, India,F, consumer goods,,,
Hedda im Brahm-Droege, im Brahm-Droege,63, Germany,F, consulting,,,
Alicia Koplowitz, Koplowitz,64, Spain,F, construction, investments,,
Wang Laichun, Wang,51, China,F, electronics components,,,
Doris Fisher, Fisher,86, United States,F, Gap,,,
Caroline Hagen Kjos, Hagen Kjos,34, Norway,F, conglomerate,,,
Penny Pritzker, Pritzker,59, United States,F, hotels, investments,,
Fiona Geminder, Geminder,53, Australia,F, manufacturing,,,
Helena Revoredo, Revoredo,71, Spain,F, security services,,,
Oprah Winfrey, Winfrey,64, United States,F, TV shows,,,
Semahat Sevim Arsel, Arsel,89, Turkey,F, diversified,,,
Isabel dos Santos, dos Santos,45, Angola,F, investments,,,
Maria Helena Moraes Scripilliti, Moraes Scripilliti,87, Brazil,F, diversified,,,
Hanni Toosbuy Kasprzak, Toosbuy Kasprzak,60, Denmark,F, shoes,,,
Jane Lauder, Lauder,45, United States,F, cosmetics,,,
Aerin Lauder Zinterhofer, Lauder Zinterhofer,48, United States,F, cosmetics,,,
Maritsa Lazari, Lazari,73, United Kingdom,F, real estate,,,
Yoshiko Mori, Mori,77, Japan,F, real estate,,,
Lottie Tham, Tham,69, Sweden,F, H&M,,,
Elaine Wynn, Wynn,76, United States,F, casinos, hotels,,
Denise York, York,67, United States,F, San Francisco 49ers,,,
Chen Jinxia, Chen,50, China,F, investments,,,
Vivien Chen, Chen,59, Hong Kong,F, real estate,,,
Chu Lam Yiu, Chu,48, Hong Kong,F, flavorings,,,
Bergit Douglas, Douglas,71, Germany,F, consumer goods,,,
Hortensia Herrero, Herrero,68, Spain,F, supermarkets,,,
Julia Oetker, Oetker,39, Germany,F, consumer goods,,,
Rosely Schweizer, Schweizer,77, Germany,F, consumer goods,,,
Leena Tewari, Tewari,60, India,F, pharmaceuticals,,,
Eva Maria Bucher-Haefner, Bucher-Haefner,61, Switzerland,F, Computer Associates,,,
Filiz Sahenk, Sahenk,51, Turkey,F, diversified,,,
Lia Maria Aguiar, Aguiar,80, Brazil,F, banking,,,
Tatiana Casiraghi, Casiraghi,34, Monaco,F, beer,,,
Dulce Pugliese de Godoy Bueno, de Godoy Bueno,70, Brazil,F, hospitals, health care,,
Ana Lucia de Mattos Barretto Villela, de Mattos Barretto Villela,44, Brazil,F, banking,,,
Maria Franca Fissolo, Fissolo,83, Italy,F, Nutella, chocolates,,
Vinod & Anil Rai Gupta, Gupta,72, India,F, electrical equipment,,,
He Qiaonv, He,52, China,F, landscape architecture,,,
Suna Kirac, Kirac,77, Turkey,F, diversified,,,
Patricia Angelini Rossi, Angelini Rossi,64, Chile,F, forestry, mining,,
Cheng Xue, Cheng,48, China,F, soy sauce,,,
Catherine Lozick, Lozick,73, United States,F, valve manufacturing,,,
Maja Oeri, Oeri,63, Switzerland,F, Roche Holding,,,
Heloise Pratt, Pratt,55, Australia,F, manufacturing, investment,,
Sylvia Stroeher, Stroeher,63, Germany,F, cosmetics,,,
Eva Maria Braun-Luedicke, Braun-Luedicke,31, Germany,F, medical technology,,,
Friederike Braun-Luedicke, Braun-Luedicke,34, Germany,F, medical technology,,,
Alexandra Daitch, Daitch,55, United States,F, Cargill,,,
Lee Boo-Jin, Lee,47, South Korea,F, computer services, tourism,,
Sarah MacMillan, MacMillan,64, United States,F, Cargill,,,
Lucy Stitzer, Stitzer,58, United States,F, Cargill,,,
Su Suyu, Su,69, China,F, utilities, real estate,,
Katherine Tanner, Tanner,62, United States,F, Cargill,,,
Amy Wyss, Wyss,47, United States,F, medical equipment,,,
Miriam Baumann-Blocher, Baumann-Blocher,43, Switzerland,F, chemicals,,,
Lee Myung-Hee, Lee,74, South Korea,F, retail,,,
Lee Seo-Hyun, Lee,44, South Korea,F, computer services, tourism,,
Jennifer Pritzker, Pritzker,67, United States,F, hotels, investments,,
Zhou Xiaoguang, Zhou,56, China,F, real estate,,,
Susanne Zimmermann\xa0von Siefart\xa0, Zimmermann\xa0von Siefart\xa0,61, Germany,F, vacuums, home cleaning products,,
Anna Maria Braun, Braun,39, Germany,F, medical technology,,,
Johanna Braun, Braun,38, Germany,F, medical technology,,,
Cheung Yan, Cheung,61, China,F, paper manufacturing,,,
Linda Pritzker, Pritzker,64, United States,F, hotels, investments,,
Julia Stoschek, Stoschek,43, Germany,F, auto parts,,,
Wu Yulan, Wu,48, China,F, pharmaceuticals,,,
Angela Bennett, Bennett,74, Australia,F, mining,,,
Regine Leibinger, Leibinger,55, Germany,F, machine tools,,,
Ma Xiuhui, Ma,47, China,F, LED lighting,,,
Zhang Xiaojuan, Zhang,48, China,F, logistics,,,
Chen Xiaoying, Chen,41, China,F, package delivery,,,
Thai Lee, Lee,59, United States,F, IT provider,,,
Lei Jufang, Lei,65, China,F, pharmaceuticals,,,
Sheryl Sandberg, Sandberg,48, United States,F, Facebook,,,
Charlotte Soderstrom, Soderstrom,41, Sweden,F, H&M,,,
Charlotte Colket Weber, Weber,75, United States,F, Campbell Soup,,,
Folorunsho Alakija, Alakija,67, Nigeria,F, oil,,,
Susan Alfond, Alfond,72, United States,F, shoes,,,
Carol Jenkins Barnett, Barnett,61, United States,F, Publix supermarkets,,,
Ana Maria Brescia Cafferata, Brescia Cafferata,94, Peru,F, mining, banking,,
Martha Ford, Ford,92, United States,F, Ford Motor,,,
Ilona Herlin, Herlin,53, Finland,F, elevators, escalators,,
Nicola Leibinger-Kammueller, Leibinger-Kammueller,58, Germany,F, manufacturing,,,
Judith Neilson, Neilson,72, Australia,F, investments,,,
Madeleine Olsson Ericksson, Olsson Ericksson,73, Sweden,F, diversified,,,
Eren Ozmen, Ozmen,59, United States,F, aerospace,,,
Monika Schoeller, Schoeller,79, Germany,F, publishing,,,
Anu Aga, Aga,75, India,F, engineering,,,
Alexandra Andresen, Andresen,21, Norway,F, investments,,,
Katharina Andresen, Andresen,23, Norway,F, investments,,,
Chen Liying, Chen,42, China,F, package delivery,,,
Chey Ki-Won, Chey,53, South Korea,F, computer services, telecom,,
Maria Del Pino y Calvo-Sotelo, Del Pino y Calvo-Sotelo,62, Spain,F, construction,,,
Anne Gittinger, Gittinger,82, United States,F, Nordstrom department stores,,,
Clelia Haji-Ioannou, Haji-Ioannou,47, Cyprus,F, EasyJet,,,
Louise Lindh, Lindh,38, Sweden,F, investments,,,
Martha MacMillan, MacMillan,66, United States,F, Cargill,,,
Katarina Martinson, Martinson,37, Sweden,F, investments,,,
Bianca Rinehart, Rinehart,41, Australia,F, trust fund,,,
Ginia Rinehart, Rinehart,31, Australia,F, trust fund,,,
Lily Safra, Safra,80, Monaco,F, banking,,,
Deniz Sahenk, Sahenk,72, Turkey,F, diversified,,,
Wilma Tisch, Tisch,90, United States,F, diversified,,,
Jayshree Ullal, Ullal,57, United States,F, technology,,,
Hope Welker, Welker,32, Australia,F, trust fund,,,
Wu Lanlan, Wu,44, China,F, packaging,,,
Elena Baturina, Baturina,55, Russia,F, investments, real estate,,
Sol Daurella, Daurella,52, Spain,F, Coca-Cola,,,
Gudrun Heine, Heine,63, Germany,F, medical devices,,,
Helga Kellerhals, Kellerhals,78, Germany,F, electronics retailer,,,
Li Xuhui, Li,50, China,F, soy sauce maker,,,
Gail Miller, Miller,74, United States,F, basketball, car dealers,,
Lynsi Snyder, Snyder,36, United States,F, In-N-Out Burger,,,
Sybill Storz, Storz,81, Germany,F, medical devices,,,
Emanuella Barilla, Barilla,51, Italy,F, Barilla pasta,,,
Nancy Lerner, Lerner,58, United States,F, banking, credit cards,,
Norma Lerner, Lerner,82, United States,F, banking,,,
Li Tan, Li,53, China,F, pharmaceuticals,,,
Jenny Lind¨¦n Urnes, Lind¨¦n Urnes,47, Sweden,F, powdered metal,,,
Liora Ofer, Ofer,64, Israel,F, investments,,,
Gretel Packer, Packer,52, Australia,F, casinos,,,
Lucy Peng, Peng,45, China,F, e-commerce,,,
Andrea Reimann-Ciardelli, Reimann-Ciardelli,61, United States,F, consumer goods,,,
Yoshiko Shinohara, Shinohara,83, Japan,F, staffing,,,
Laurie Tisch, Tisch,67, United States,F, insurance, NFL team,,
Zhao Yan, Zhao,51, China,F, real estate, finance,,
Sara Blakely, Blakely,47, United States,F, Spanx,,,
Huang Xiaofen, Huang,56, China,F, printed circuit boards,,,
Carolyn Rafaelian, Rafaelian,51, United States,F, jewelry,,,
Alice Schwartz, Schwartz,91, United States,F, biotech,,,
Zhuo Jun, Zhuo,52, Hong Kong,F, printed circuit boards,,,
Theo Albrecht, Jr. Albrecht,67, Germany,M, "Aldi, Trader Joes"],,
Reinfried Pohl, Jr. Pohl,58, Germany,M, mutual funds,,,
John Dorrance, III. Dorrance,74, Ireland,M, Campbell Soup,,,
Jeff Bezos, Bezos,54, United States,M, Amazon,,,
Bill Gates, Gates,62, United States,M, Microsoft,,,
Warren Buffett, Buffett,87, United States,M, Berkshire Hathaway,,,
Bernard Arnault, Arnault,69, France,M, LVMH,,,
Mark Zuckerberg, Zuckerberg,34, United States,M, Facebook,,,
Amancio Ortega, Ortega,82, Spain,M, Zara,,,
Carlos Slim Helu, Slim Helu,78, Mexico,M, telecom,,,
Charles Koch, Koch,82, United States,M, Koch Industries,,,
David Koch, Koch,78, United States,M, Koch Industries,,,
Larry Ellison, Ellison,73, United States,M, software,,,
Michael Bloomberg, Bloomberg,76, United States,M, Bloomberg LP,,,
Larry Page, Page,45, United States,M, Google,,,
Sergey Brin, Brin,44, United States,M, Google,,,
Jim Walton, Walton,70, United States,M, Walmart,,,
S. Robson Walton, Walton,73, United States,M, Walmart,,,
Ma Huateng, Ma,46, China,M, internet media,,,
Mukesh Ambani, Ambani,61, India,M, petrochemicals, oil & gas,,
Jack Ma, Ma,53, China,M, e-commerce,,,
Sheldon Adelson, Adelson,84, United States,M, casinos,,,
Steve Ballmer, Ballmer,62, United States,M, Microsoft,,,
Li Ka-shing, Li,90, Hong Kong,M, diversified,,,
Hui Ka Yan, Hui,59, China,M, real estate,,,
Lee Shau Kee, Lee,90, Hong Kong,M, real estate,,,
Wang Jianlin, Wang,63, China,M, real estate,,,
Beate Heister & Karl Albrecht Jr., Albrecht Jr.,66, Germany,M, supermarkets,,,
Phil Knight, Knight,80, United States,M, Nike,,,
Jorge Paulo Lemann, Lemann,78, Brazil,M, beer,,,
Francois Pinault, Pinault,81, France,M, luxury goods,,,
Georg Schaeffler, Schaeffler,53, Germany,M, auto parts,,,
David Thomson, Thomson,61, Canada,M, media,,,
John Mars, Mars,82, United States,M, candy, pet food,,
Joseph Safra, Safra,79, Brazil,M, banking,,,
Giovanni Ferrero, Ferrero,53, Italy,M, Nutella, chocolates,,
Dietrich Mateschitz, Mateschitz,74, Austria,M, Red Bull,,,
Michael Dell, Dell,53, United States,M, Dell computers,,,
Masayoshi Son, Son,60, Japan,M, internet, telecom,,
Serge Dassault, Dassault,93, France,M, diversified,,,
Stefan Quandt, Quandt,52, Germany,M, BMW,,,
Paul Allen, Allen,65, United States,M, Microsoft, investments,,
Leonardo Del Vecchio, Del Vecchio,83, Italy,M, eyeglasses,,,
Dieter Schwarz, Schwarz,78, Germany,M, retail,,,
Thomas Peterffy, Peterffy,73, United States,M, discount brokerage,,,
Len Blavatnik, Blavatnik,61, United States,M, diversified,,,
He Xiangjian, He,75, China,M, home appliances,,,
Lui Che Woo, Lui,89, Hong Kong,M, casinos,,,
James Simons, Simons,80, United States,M, hedge funds,,,
Henry Sy, Sy,93, Philippines,M, diversified,,,
Elon Musk, Musk,46, United States,M, Tesla Motors,,,
Tadashi Yanai, Yanai,69, Japan,M, fashion retail,,,
Vladimir Lisin, Lisin,62, Russia,M, steel, transport,,
Azim Premji, Premji,72, India,M, software services,,,
Alexey Mordashov, Mordashov,52, Russia,M, steel, investments,,
Lee Kun-Hee, Lee,76, South Korea,M, Samsung,,,
Lakshmi Mittal, Mittal,68, India,M, steel,,,
Wang Wei, Wang,48, China,M, package delivery,,,
Leonid Mikhelson, Mikhelson,62, Russia,M, gas, chemicals,,
Charoen Sirivadhanabhakdi, Sirivadhanabhakdi,74, Thailand,M, drinks, real estate,,
Pallonji Mistry, Mistry,89, Ireland,M, construction,,,
Ray Dalio, Dalio,68, United States,M, hedge funds,,,
Takemitsu Takizaki, Takizaki,73, Japan,M, sensors,,,
William Ding, Ding,46, China,M, online games,,,
R. Budi Hartono, Hartono,77, Indonesia,M, banking, tobacco,,
German Larrea Mota Velasco, Larrea Mota Velasco,64, Mexico,M, mining,,,
Carl Icahn, Icahn,82, United States,M, investments,,,
Stefan Persson, Persson,70, Sweden,M, H&M,,,
Michael Hartono, Hartono,78, Indonesia,M, banking, tobacco,,
Joseph Lau, Lau,66, Hong Kong,M, real estate,,,
Vagit Alekperov, Alekperov,67, Russia,M, oil,,,
James Ratcliffe, Ratcliffe,65, United Kingdom,M, chemicals,,,
Donald Bren, Bren,86, United States,M, real estate,,,
Gennady Timchenko, Timchenko,65, Russia,M, oil, gas,,
Vladimir Potanin, Potanin,57, Russia,M, metals,,,
Lukas Walton, Walton,31, United States,M, Walmart,,,
Zhang Zhidong, Zhang,46, China,M, internet media,,,
Petr Kellner, Kellner,54, Czech Republic,M, banking,,,
Andrey Melnichenko, Melnichenko,46, Russia,M, coal, fertilizers,,
Klaus-Michael Kuehne, Kuehne,81, Germany,M, shipping,,,
Li Shufu, Li,55, China,M, automobiles,,,
Mikhail Fridman, Fridman,54, Russia,M, oil, banking, telecom,
Rupert Murdoch, Murdoch,87, United States,M, newspapers, TV network,,
Dhanin Chearavanont, Chearavanont,79, Thailand,M, diversified,,,
Robert Kuok, Kuok,94, Malaysia,M, palm oil, shipping, property,
Emmanuel Besnier, Besnier,47, France,M, cheese,,,
Shiv Nadar, Nadar,72, India,M, software services,,,
Viktor Vekselberg, Vekselberg,61, Russia,M, metals, energy,,
Aliko Dangote, Dangote,61, Nigeria,M, cement, sugar, flour,
Harold Hamm, Hamm,72, United States,M, oil & gas,,,
Steve Cohen, Cohen,62, United States,M, hedge funds,,,
Dustin Moskovitz, Moskovitz,34, United States,M, Facebook,,,
Marcel Herrmann Telles, Telles,68, Brazil,M, beer,,,
Reinhold Wuerth, Wuerth,83, Germany,M, fasteners,,,
Charles Ergen, Ergen,65, United States,M, satellite TV,,,
Eric Schmidt, Schmidt,63, United States,M, Google,,,
Philip Anschutz, Anschutz,78, United States,M, investments,,,
Jim Kennedy, Kennedy,70, United States,M, media,,,
Alain Wertheimer, Wertheimer,69, France,M, Chanel,,,
Gerard Wertheimer, Wertheimer,67, France,M, Chanel,,,
Leonard Lauder, Lauder,81, United States,M, Estee Lauder,,,
Heinz Hermann Thiele, Thiele,77, Germany,M, brakes,,,
Dilip Shanghvi, Shanghvi,62, India,M, pharmaceuticals,,,
Hasso Plattner, Plattner,74, Germany,M, software,,,
Stephen Schwarzman, Schwarzman,71, United States,M, investments,,,
Lei Jun, Lei,48, China,M, smartphones,,,
Hans Rausing, Rausing,92, Sweden,M, packaging,,,
Alisher Usmanov, Usmanov,64, Russia,M, steel, telecom, investments,
Donald Newhouse, Newhouse,88, United States,M, media,,,
Peter Woo, Woo,71, Hong Kong,M, real estate,,,
Luis Carlos Sarmiento, Sarmiento,85, Colombia,M, banking,,,
Robin Li, Li,49, China,M, internet search,,,
Carlos Alberto Sicupira, Sicupira,70, Brazil,M, beer,,,
Seo Jung-Jin, Seo,60, South Korea,M, biotech,,,
Kumar Birla, Birla,51, India,M, commodities,,,
Alexander Otto, Otto,50, Germany,M, real estate,,,
Stefano Pessina, Pessina,77, Italy,M, drugstores,,,
Wang Wenyin, Wang,50, China,M, mining, copper products,,
Andrew Beal, Beal,65, United States,M, banks, real estate,,
Lee Man Tat, Lee,88, Hong Kong,M, Oyster sauce, real estate,,
Xu Shihui, Xu,60, China,M, snacks, beverages,,
Zhou Hongyi, Zhou,47, China,M, security software,,,
Gong Hongjia, Gong,53, Hong Kong,M, video surveillance,,,
Michael Otto, Otto,75, Germany,M, retail, real estate,,
David Tepper, Tepper,60, United States,M, hedge funds,,,
Roman Abramovich, Abramovich,51, Russia,M, steel, investments,,
Liu Qiangdong, Liu,43, China,M, e-commerce,,,
Alberto Bailleres Gonzalez, Bailleres Gonzalez,86, Mexico,M, mining,,,
Uday Kotak, Kotak,59, India,M, banking,,,
Pierre Omidyar, Omidyar,51, United States,M, eBay,,,
Walter P.J. Droege, Droege,65, Germany,M, consulting,,,
Dietmar Hopp, Hopp,78, Germany,M, software,,,
Graeme Hart, Hart,63, New Zealand,M, investments,,,
Eduardo Saverin, Saverin,36, Brazil,M, Facebook,,,
Yan Zhi, Yan,45, China,M, real estate,,,
Radhakishan Damani, Damani,63, India,M, investments, retail,,
German Khan, Khan,56, Russia,M, oil, banking, telecom,
Ronald Perelman, Perelman,75, United States,M, leveraged buyouts,,,
Gautam Adani, Adani,56, India,M, commodities, ports,,
Micky Arison, Arison,68, United States,M, Carnival Cruises,,,
Pan Zhengmin, Pan,48, China,M, electronics,,,
Joseph Tsai, Tsai,54, Canada,M, e-commerce,,,
Mikhail Prokhorov, Prokhorov,53, Russia,M, investments,,,
Galen Weston, Weston,77, Canada,M, retail,,,
Zong Qinghou, Zong,72, China,M, beverages,,,
Eyal Ofer, Ofer,68, Israel,M, real estate, shipping,,
Charles Schwab, Schwab,80, United States,M, discount brokerage,,,
Viktor Rashnikov, Rashnikov,69, Russia,M, steel,,,
Harry Triguboff, Triguboff,85, Australia,M, real estate,,,
August von Finck, von Finck,88, Germany,M, investments,,,
Yao Zhenhua, Yao,48, China,M, conglomerate,,,
Jan Koum, Koum,42, United States,M, WhatsApp,,,
Cyrus Poonawalla, Poonawalla,77, India,M, vaccines,,,
James Goodnight, Goodnight,75, United States,M, software,,,
Ken Griffin, Griffin,49, United States,M, hedge funds,,,
Giorgio Armani, Armani,83, Italy,M, luxury goods,,,
Ernesto Bertarelli, Bertarelli,52, Switzerland,M, biotech, investments,,
Sunil Mittal, Mittal,60, India,M, telecom,,,
James Chambers, Chambers,61, United States,M, media,,,
Terry Gou, Gou,67, Taiwan,M, electronics,,,
Gordon Moore, Moore,89, United States,M, Intel,,,
James Irving, Irving,90, Canada,M, diversified,,,
Stanley Kroenke, Kroenke,70, United States,M, sports, real estate,,
Melker Schorling, Schorling,71, Sweden,M, investments,,,
Johann Graf, Graf,71, Austria,M, gambling,,,
Guo Guangchang, Guo,51, China,M, conglomerate,,,
John Malone, Malone,77, United States,M, cable television,,,
Xavier Niel, Niel,50, France,M, internet, telecom,,
Silvio Berlusconi, Berlusconi,81, Italy,M, media,,,
Carl Cook, Cook,55, United States,M, medical devices,,,
David Geffen, Geffen,75, United States,M, movies, record labels,,
Hui Wing Mau, Hui,67, Hong Kong,M, real estate,,,
Walter Kwok, Kwok,67, Hong Kong,M, real estate,,,
George Soros, Soros,87, United States,M, hedge funds,,,
David Duffield, Duffield,77, United States,M, business software,,,
George Kaiser, Kaiser,75, United States,M, oil & gas, banking,,
Patrick Soon-Shiong, Soon-Shiong,65, United States,M, pharmaceuticals,,,
Nicky Oppenheimer, Oppenheimer,73, South Africa,M, diamonds,,,
Sun Piaoyang, Sun,59, China,M, pharmaceuticals,,,
Alexei Kuzmichev, Kuzmichev,55, Russia,M, oil, banking, telecom,
Stephen Ross, Ross,78, United States,M, real estate,,,
Vincent Bollore, Bollore,66, France,M, investments,,,
Jay Y. Lee, Lee,50, South Korea,M, Samsung,,,
Anders Holch Povlsen, Povlsen,45, Denmark,M, fashion retail,,,
Eli Broad, Broad,85, United States,M, investments,,,
Michael Kadoorie, Kadoorie,76, Hong Kong,M, hotels, energy,,
Iskander Makhmudov, Makhmudov,54, Russia,M, mining, metals, machinery,
Frederik Paulsen, Paulsen,67, Sweden,M, health care,,,
Sun Hongbin, Sun,55, United States,M, real estate,,,
Shahid Khan, Khan,67, United States,M, auto parts,,,
Ananda Krishnan, Krishnan,80, Malaysia,M, telecoms, media, oil-services,
Quek Leng Chan, Quek,76, Malaysia,M, banking, property,,
Wang Wenxue, Wang,51, China,M, real estate,,,
John Doerr, Doerr,66, United States,M, venture capital,,,
Patrick Drahi, Drahi,54, France,M, telecom,,,
Ricardo Salinas Pliego, Salinas Pliego,62, Mexico,M, retail, media,,
Suh Kyung-Bae, Suh,55, South Korea,M, cosmetics,,,
John Fredriksen, Fredriksen,73, Cyprus,M, shipping,,,
Goh Cheng Liang, Goh,91, Singapore,M, paints,,,
Sri Prakash Lohia, Lohia,65, Indonesia,M, polyester,,,
Lu Zhiqiang, Lu,65, China,M, real estate,,,
Jorn Rausing, Rausing,58, Sweden,M, packaging,,,
Johann Rupert, Rupert,68, South Africa,M, luxury goods,,,
Jacques Saade, Saade,81, France,M, shipping,,,
Wu Shaoxun, Wu,62, China,M, wine,,,
Leonid Fedun, Fedun,62, Russia,M, oil,,,
Kim Jung-Ju, Kim,50, South Korea,M, online games,,,
Jim Pattison, Pattison,89, Canada,M, diversified,,,
Michael Platt, Platt,50, United Kingdom,M, hedge funds,,,
David Green, Green,76, United States,M, retail,,,
Dmitry Rybolovlev, Rybolovlev,51, Russia,M, fertilizer,,,
Tsai Eng-Meng, Tsai,61, Taiwan,M, food, beverages,,
Andreas von Bechtolsheim, von Bechtolsheim,62, Germany,M, Google,,,
Oleg Deripaska, Deripaska,50, Russia,M, aluminum, utilities,,
Liu Yongxing, Liu,70, China,M, diversified,,,
Ludwig Merckle, Merckle,53, Germany,M, pharmaceuticals,,,
Brian Acton, Acton,46, United States,M, WhatsApp,,,
John Grayken, Grayken,62, Ireland,M, private equity,,,
Finn Rausing, Rausing,63, Sweden,M, packaging,,,
Odd Reitan, Reitan,66, Norway,M, retail, real estate,,
Nassef Sawiris, Sawiris,57, Egypt,M, construction, chemicals,,
Wee Cho Yaw, Wee,89, Singapore,M, banking,,,
Aloys Wobben, Wobben,66, Germany,M, wind turbines,,,
Leon Black, Black,66, United States,M, private equity,,,
